Wall time,Step,Value
1710859301.299119,299,0.0
1710859302.7068195,349,0.0
1710859309.5670905,549,1.0
1710859310.9523246,599,1.0
1710859314.876619,699,1.0
1710859316.399591,749,2.0
1710859317.68391,799,2.0
1710859318.925548,849,2.0
1710859320.8720734,899,2.0
1710859322.5091977,949,2.0
1710859324.093101,999,2.0
1710859325.3133729,1049,2.0
1710859330.2126048,1249,3.0
1710859332.276785,1299,3.0
1710859342.8328018,1699,4.0
1710859344.0467422,1749,4.0
1710859348.2552145,1799,5.0
1710859352.5228636,1949,5.0
1710859353.8275979,1999,5.0
1710859357.2081516,2099,5.0
1710859358.9946988,2149,6.0
1710859360.2246509,2199,6.0
1710859361.437339,2249,6.0
1710859363.7416565,2349,6.0
1710859366.1993768,2449,6.0
1710859367.3804696,2499,6.0
1710859371.0371377,2649,7.0
1710859372.143811,2699,7.0
1710859373.3628764,2749,7.0
1710859374.50265,2799,7.0
1710859375.6745858,2849,7.0
1710859379.1955802,2999,8.0
1710859380.9311635,3049,8.0
1710859383.2642725,3149,8.0
1710859385.7064297,3249,9.0
1710859386.905334,3299,9.0
1710859389.2343938,3349,9.0
1710859390.3655746,3399,9.0
1710859393.9078465,3549,9.0
1710859397.2169268,3579,9.0
1710859397.7958763,3599,10.0
1710859399.5790935,3649,10.0
1710859401.8449655,3749,10.0
1710859405.2528143,3899,10.0
1710859411.1496437,4149,11.0
1710859412.2464318,4199,11.0
1710859413.4360917,4249,11.0
1710859414.7239506,4299,12.0
1710859415.8239322,4349,12.0
1710859416.9826248,4399,12.0
1710859422.7205725,4649,12.0
1710859432.220678,5049,14.0
1710859434.640891,5149,14.0
1710859435.8260531,5199,14.0
1710859436.9946291,5249,14.0
1710859446.5759294,5549,15.0
1710859450.0386772,5699,15.0
1710859452.5096462,5799,16.0
1710859453.6294918,5849,16.0
1710859455.3657863,5899,16.0
1710859460.0982106,6099,17.0
1710859461.3006983,6149,17.0
1710859462.4333189,6199,17.0
1710859466.5676975,6349,17.0
1710859468.5046213,6399,17.0
1710859472.045374,6549,18.0
1710859476.7375422,6749,18.0
1710859479.116792,6849,19.0
1710859481.475848,6949,19.0
1710859482.6182725,6999,19.0
1710859483.8191001,7049,19.0
1710859484.9683175,7099,19.0
1710859488.186489,7159,19.0
1710859490.4320295,7249,20.0
1710859492.7041693,7349,20.0
1710859496.2115602,7499,20.0
1710859497.4503856,7549,21.0
1710859498.6594443,7599,21.0
1710859500.9207914,7699,21.0
1710859502.081357,7749,21.0
1710859503.2364218,7799,21.0
1710859506.7289197,7949,22.0
1710859509.111795,8049,22.0
1710859510.2687552,8099,22.0
1710859512.5351512,8199,22.0
1710859513.8277094,8249,23.0
1710859517.2478018,8399,23.0
1710859522.0802038,8599,24.0
1710859523.2547104,8649,24.0
1710859524.4536548,8699,24.0
1710859525.6728399,8749,24.0
1710859528.021009,8849,24.0
1710859529.1929955,8899,24.0
1710859532.3424635,8949,24.0
1710859534.8025432,9049,25.0
1710859536.5217085,9099,25.0
1710859537.689629,9149,25.0
1710859538.8874562,9199,25.0
1710859541.232297,9299,25.0
1710859542.504078,9349,26.0
1710859551.251501,9699,27.0
1710859556.8290024,9899,27.0
1710859561.4119601,10099,28.0
1710859562.6057577,10149,28.0
1710859563.7217264,10199,28.0
1710859568.3762357,10399,29.0
1710859569.5691993,10449,29.0
1710859570.7568471,10499,29.0
1710859571.8610168,10549,29.0
1710859576.2365704,10699,29.0
1710859579.0765269,10739,29.0
1710859581.7410042,10849,30.0
1710859582.8995757,10899,30.0
1710859585.1728761,10999,30.0
1710859586.353522,11049,30.0
1710859587.5969822,11099,31.0
1710859589.8609426,11199,31.0
1710859591.0255778,11249,31.0
1710859592.176172,11299,31.0
1710859593.3627222,11349,31.0
1710859594.5571244,11399,31.0
1710859595.7242875,11449,31.0
1710859599.2900898,11599,32.0
1710859600.4061704,11649,32.0
1710859602.664497,11749,32.0
1710859607.3426003,11949,33.0
1710859608.4656231,11999,33.0
1710859611.1868258,12099,33.0
1710859613.4883227,12199,34.0
1710859614.6157882,12249,34.0
1710859620.4483187,12499,34.0
1710859625.4525704,12599,35.0
1710859627.1808696,12649,35.0
1710859628.3152769,12699,35.0
1710859629.512044,12749,35.0
1710859632.026126,12849,35.0
1710859636.7813787,13049,36.0
1710859639.7961197,13149,36.0
1710859642.1582613,13249,37.0
1710859644.4120274,13349,37.0
1710859648.8728733,13549,37.0
1710859650.0101407,13599,37.0
1710859652.473208,13699,38.0
1710859657.2866068,13899,38.0
1710859663.4785383,14149,39.0
1710859665.7267435,14249,39.0
1710859666.8380103,14299,39.0
1710859671.3154507,14399,40.0
1710859673.6204884,14499,40.0
1710859674.752554,14549,40.0
1710859675.877387,14599,40.0
1710859678.2166102,14699,41.0
1710859679.3584347,14749,41.0
1710859680.5548465,14799,41.0
1710859685.8786457,14999,41.0
1710859687.0444334,15049,42.0
1710859689.3809037,15149,42.0
1710859692.7242289,15299,42.0
1710859697.4449854,15499,43.0
1710859698.703804,15549,43.0
1710859699.9404929,15599,43.0
1710859701.0776103,15649,43.0
1710859703.4785783,15749,43.0
1710859706.9903867,15899,44.0
1710859708.110147,15949,44.0
1710859709.818446,15999,44.0
1710859714.3296185,16109,44.0
1710859715.4078193,16149,45.0
1710859717.7967024,16249,45.0
1710859725.263667,16549,46.0
1710859727.52841,16649,46.0
1710859729.785813,16749,46.0
1710859730.8925924,16799,46.0
1710859732.11604,16849,47.0
1710859734.384455,16949,47.0
1710859735.5196533,16999,47.0
1710859741.3549428,17249,48.0
1710859742.4900465,17299,48.0
1710859744.6784549,17399,48.0
1710859747.082706,17499,48.0
1710859748.352055,17549,49.0
1710859749.5299916,17599,49.0
1710859753.5359166,17749,49.0
1710859754.6757898,17799,49.0
1710859755.796445,17849,49.0
1710859759.1852636,17899,49.0
1710859760.3837743,17949,50.0
1710859762.7263546,18049,50.0
1710859763.8701913,18099,50.0
1710859766.1375208,18199,50.0
1710859768.4830453,18299,51.0
1710859770.677855,18399,51.0
1710859771.8248181,18449,51.0
1710859772.9576468,18499,51.0
1710859775.9044638,18599,51.0
1710859777.1136038,18649,52.0
1710859780.4739106,18799,52.0
1710859781.6552389,18849,52.0
1710859782.806543,18899,52.0
1710859783.946237,18949,52.0
1710859786.3730097,19049,53.0
1710859787.5583951,19099,53.0
1710859788.7023659,19149,53.0
1710859789.9069295,19199,53.0
1710859800.6416783,19649,54.0
1710859803.4646423,19689,54.0
1710859805.0427852,19749,55.0
1710859808.346248,19899,55.0
1710859817.6226823,20249,56.0
1710859818.8416572,20299,56.0
1710859823.655895,20499,57.0
1710859824.7872622,20549,57.0
1710859825.9466743,20599,57.0
1710859828.3139575,20699,57.0
1710859830.7087893,20799,58.0
1710859835.2195897,20999,58.0
1710859845.9174266,21449,59.0
1710859848.3911242,21479,59.0
1710859848.9782987,21499,60.0
1710859850.078108,21549,60.0
1710859852.413949,21649,60.0
1710859853.5829182,21699,60.0
1710859857.8283641,21849,61.0
1710859861.1415145,21999,61.0
1710859867.8505201,22299,62.0
1710859869.0790534,22349,62.0
1710859870.2753413,22399,62.0
1710859871.4577274,22449,62.0
1710859873.407902,22499,62.0
1710859875.848174,22599,63.0
1710859877.0175843,22649,63.0
1710859878.185187,22699,63.0
1710859880.4757407,22799,63.0
1710859881.6099935,22849,63.0
1710859882.772283,22899,63.0
1710859885.0731063,22999,64.0
1710859887.3391578,23099,64.0
1710859889.1090982,23149,64.0
1710859894.3848286,23299,65.0
1710859902.4711518,23649,66.0
1710859905.8950891,23799,66.0
1710859907.0320983,23849,66.0
1710859909.459849,23949,66.0
1710859911.917782,24049,67.0
1710859915.3911862,24199,67.0
1710859923.3954835,24549,68.0
1710859926.83323,24699,68.0
1710859928.094892,24749,69.0
1710859931.3728695,24899,69.0
1710859932.5239942,24949,69.0
1710859933.653894,24999,69.0
1710859937.014435,25059,69.0
1710859938.0345654,25099,70.0
1710859939.243998,25149,70.0
1710859940.4017653,25199,70.0
1710859942.7676752,25299,70.0
1710859948.6122305,25549,71.0
1710859949.7371755,25599,71.0
1710859957.3804958,25899,72.0
1710859959.6589031,25999,72.0
1710859961.4294155,26049,72.0
1710859962.62543,26099,72.0
1710859964.6441197,26149,73.0
1710859965.81465,26199,73.0
1710859967.0071797,26249,73.0
1710859968.1745667,26299,73.0
1710859969.3251996,26349,73.0
1710859970.4590003,26399,73.0
1710859971.633006,26449,73.0
1710859973.986797,26549,74.0
1710859977.5823476,26699,74.0
1710859978.716517,26749,74.0
1710859979.8779407,26799,74.0
1710859982.810877,26849,74.0
1710859987.5278971,27049,75.0
1710859989.8379178,27149,75.0
1710859992.2304156,27249,76.0
1710859993.3950186,27299,76.0
1710859997.4676046,27449,76.0
1710859998.6194246,27499,76.0
1710859999.7747242,27549,76.0
1710860002.2304955,27649,77.0
1710860003.4104133,27699,77.0
1710860004.55239,27749,77.0
1710860006.9687166,27849,77.0
1710860009.3928936,27949,78.0
1710860010.5221868,27999,78.0
1710860013.867979,28149,78.0
1710860015.0020607,28199,78.0
1710860016.1384957,28249,78.0
1710860017.4104877,28299,79.0
1710860018.5255413,28349,79.0
1710860019.6263237,28399,79.0
1710860020.823555,28449,79.0
1710860021.9841633,28499,79.0
1710860024.2919958,28599,79.0
1710860027.2653816,28639,79.0
1710860030.9332838,28799,80.0
1710860032.1083357,28849,80.0
1710860033.8125565,28899,80.0
1710860036.1691093,28999,81.0
1710860037.4155471,29049,81.0
1710860038.5469377,29099,81.0
1710860039.6437383,29149,81.0
1710860042.462893,29249,81.0
1710860044.759495,29349,81.0
1710860047.2426515,29449,82.0
1710860049.5703537,29549,82.0
1710860051.9374166,29649,82.0
1710860054.2492323,29749,83.0
1710860055.8342497,29799,83.0
1710860056.896598,29849,83.0
1710860060.2778778,29999,83.0
1710860064.8574202,30199,84.0
1710860066.0868616,30249,84.0
1710860068.3215847,30349,84.0
1710860069.4620988,30399,84.0
1710860072.437909,30449,85.0
1710860077.5656106,30649,85.0
1710860078.6863043,30699,85.0
1710860081.0840409,30799,86.0
1710860083.3105319,30899,86.0
1710860087.8734689,31099,86.0
1710860091.3577096,31249,87.0
1710860092.484715,31299,87.0
1710860094.7938254,31399,87.0
1710860095.9472663,31449,87.0
1710860097.0909226,31499,87.0
1710860098.3813684,31549,88.0
1710860099.404,31599,88.0
1710860100.5597184,31649,88.0
1710860102.7767847,31749,88.0
1710860103.9422975,31799,88.0
1710860109.3203857,31999,89.0
1710860110.4213245,32049,89.0
