Wall time,Step,Value
1710859358.6903024,99,0.0
1710859363.8075762,199,0.0
1710859368.9567604,299,0.0
1710859371.4857192,349,0.0
1710859376.7916608,449,1.0
1710859381.8545165,549,1.0
1710859384.349689,599,1.0
1710859386.8506575,649,1.0
1710859389.4396439,699,1.0
1710859392.0118117,749,2.0
1710859394.507141,799,2.0
1710859397.0452359,849,2.0
1710859399.4123187,899,2.0
1710859401.8493438,949,2.0
1710859404.5865414,999,2.0
1710859407.0754511,1049,2.0
1710859409.620688,1099,3.0
1710859412.163746,1149,3.0
1710859417.074355,1249,3.0
1710859419.5196505,1299,3.0
1710859424.701997,1399,3.0
1710859432.5364108,1549,4.0
1710859435.0602295,1599,4.0
1710859437.6205256,1649,4.0
1710859440.25506,1699,4.0
1710859442.703029,1749,4.0
1710859449.7660608,1799,5.0
1710859457.2246943,1949,5.0
1710859459.7687125,1999,5.0
1710859464.7021828,2099,5.0
1710859467.2456594,2149,6.0
1710859470.2062802,2199,6.0
1710859473.0899923,2249,6.0
1710859475.826497,2299,6.0
1710859478.317943,2349,6.0
1710859483.5788848,2449,6.0
1710859486.0811677,2499,6.0
1710859493.5065029,2649,7.0
1710859496.0614176,2699,7.0
1710859498.5034382,2749,7.0
1710859501.046463,2799,7.0
1710859503.4361463,2849,7.0
1710859510.9982226,2999,8.0
1710859513.4904816,3049,8.0
1710859515.939232,3099,8.0
1710859518.470598,3149,8.0
1710859520.9884562,3199,8.0
1710859523.489721,3249,9.0
1710859525.8805494,3299,9.0
1710859528.4173932,3349,9.0
1710859530.98944,3399,9.0
1710859533.5389714,3449,9.0
1710859538.5465274,3549,9.0
1710859544.324644,3579,9.0
1710859545.4343514,3599,10.0
1710859548.156273,3649,10.0
1710859553.576314,3749,10.0
1710859555.7368882,3799,10.0
1710859558.0602303,3849,10.0
1710859560.5558493,3899,10.0
1710859565.9525788,3999,11.0
1710859568.8630216,4049,11.0
1710859573.9046578,4149,11.0
1710859576.7720675,4199,11.0
1710859579.2717385,4249,11.0
1710859581.7448409,4299,12.0
1710859584.183321,4349,12.0
1710859586.6929994,4399,12.0
1710859591.9103322,4499,12.0
1710859594.4065902,4549,12.0
1710859596.8462417,4599,12.0
1710859599.21298,4649,12.0
1710859604.2263646,4749,13.0
1710859611.7018619,4899,13.0
1710859614.1690855,4949,13.0
1710859616.6537802,4999,13.0
1710859619.1136708,5049,14.0
1710859621.587139,5099,14.0
1710859624.0907252,5149,14.0
1710859626.55944,5199,14.0
1710859629.018162,5249,14.0
1710859639.528467,5369,14.0
1710859641.1460302,5399,15.0
1710859648.6721406,5549,15.0
1710859656.1434727,5699,15.0
1710859658.5213473,5749,16.0
1710859660.9423568,5799,16.0
1710859663.4239104,5849,16.0
1710859665.7825162,5899,16.0
1710859668.2394786,5949,16.0
1710859673.19646,6049,16.0
1710859675.7574868,6099,17.0
1710859678.4682884,6149,17.0
1710859680.9296079,6199,17.0
1710859683.8799157,6249,17.0
1710859689.36442,6349,17.0
1710859691.7576337,6399,17.0
1710859699.0691152,6549,18.0
1710859706.5044014,6699,18.0
1710859708.9634397,6749,18.0
1710859714.4195075,6849,19.0
1710859719.784395,6949,19.0
1710859722.1874862,6999,19.0
1710859724.634845,7049,19.0
1710859727.0476196,7099,19.0
1710859729.4219022,7149,19.0
1710859734.5245395,7159,19.0
1710859739.229113,7249,20.0
1710859741.7107987,7299,20.0
1710859744.7108543,7349,20.0
1710859747.1612022,7399,20.0
1710859752.1201293,7499,20.0
1710859754.6823215,7549,21.0
1710859757.088264,7599,21.0
1710859761.9867706,7699,21.0
1710859764.4891963,7749,21.0
1710859767.0008068,7799,21.0
1710859772.1498234,7899,22.0
1710859774.5756934,7949,22.0
1710859779.460834,8049,22.0
1710859781.9619992,8099,22.0
1710859786.7563047,8199,22.0
1710859789.3273518,8249,23.0
1710859791.814928,8299,23.0
1710859796.6994205,8399,23.0
1710859799.212449,8449,23.0
1710859801.5887785,8499,23.0
1710859806.4162376,8599,24.0
1710859808.8473153,8649,24.0
1710859811.3268476,8699,24.0
1710859814.1220882,8749,24.0
1710859819.0470524,8849,24.0
1710859821.60305,8899,24.0
1710859823.980082,8949,24.0
1710859828.3652022,8949,24.0
1710859830.9556417,8999,25.0
1710859833.4331515,9049,25.0
1710859835.950877,9099,25.0
1710859838.5387716,9149,25.0
1710859841.0509524,9199,25.0
1710859845.9545014,9299,25.0
1710859848.4012816,9349,26.0
1710859855.6349015,9499,26.0
1710859865.5295591,9699,27.0
1710859868.0002654,9749,27.0
1710859876.0777984,9899,27.0
1710859878.6469305,9949,27.0
1710859883.6602461,10049,28.0
1710859886.1019378,10099,28.0
1710859888.5269608,10149,28.0
1710859890.9328167,10199,28.0
1710859893.4603603,10249,28.0
1710859901.025536,10399,29.0
1710859903.5023806,10449,29.0
1710859906.3067124,10499,29.0
1710859908.797824,10549,29.0
1710859916.077079,10699,29.0
1710859922.3282661,10739,29.0
1710859922.963439,10749,30.0
1710859925.353775,10799,30.0
1710859927.900568,10849,30.0
1710859930.340302,10899,30.0
1710859935.1952848,10999,30.0
1710859937.5963383,11049,30.0
1710859940.086385,11099,31.0
1710859945.2418885,11199,31.0
1710859947.7008834,11249,31.0
1710859950.2503192,11299,31.0
1710859952.6562247,11349,31.0
1710859955.148862,11399,31.0
1710859957.5379276,11449,31.0
1710859960.1375575,11499,32.0
1710859965.036713,11599,32.0
1710859967.5484748,11649,32.0
1710859972.3380272,11749,32.0
1710859974.884913,11799,32.0
1710859977.4136825,11849,33.0
1710859982.64752,11949,33.0
1710859985.0744967,11999,33.0
1710859987.5282803,12049,33.0
1710859990.0268755,12099,33.0
1710859992.461944,12149,33.0
1710859995.0196075,12199,34.0
1710859997.4774566,12249,34.0
1710859999.892249,12299,34.0
1710860002.3717587,12349,34.0
1710860004.9207087,12399,34.0
1710860009.7906575,12499,34.0
1710860019.4514809,12599,35.0
1710860021.8759143,12649,35.0
1710860024.386765,12699,35.0
1710860026.8428288,12749,35.0
1710860032.0951147,12849,35.0
1710860037.270709,12949,36.0
1710860042.3534577,13049,36.0
1710860047.2634706,13149,36.0
1710860052.1990476,13249,37.0
1710860054.6959815,13299,37.0
1710860057.1527352,13349,37.0
1710860059.532532,13399,37.0
1710860061.8660607,13449,37.0
1710860066.852477,13549,37.0
1710860069.2524722,13599,37.0
1710860074.2125401,13699,38.0
1710860076.6485956,13749,38.0
1710860079.237642,13799,38.0
1710860081.883655,13849,38.0
1710860084.397349,13899,38.0
1710860096.7288654,14149,39.0
1710860101.7766712,14249,39.0
1710860104.4664638,14299,39.0
1710860111.3424764,14349,40.0
1710860113.7316687,14399,40.0
1710860116.2209008,14449,40.0
1710860118.7151444,14499,40.0
1710860121.2105107,14549,40.0
1710860123.739533,14599,40.0
1710860126.259554,14649,40.0
1710860128.765706,14699,41.0
1710860131.309996,14749,41.0
1710860133.8517346,14799,41.0
1710860143.8481624,14999,41.0
1710860146.3587773,15049,42.0
1710860151.1160908,15149,42.0
1710860158.4869585,15299,42.0
1710860161.2728848,15349,42.0
1710860166.4149349,15449,43.0
1710860168.9300194,15499,43.0
1710860171.3459585,15549,43.0
1710860173.7281156,15599,43.0
1710860176.1527636,15649,43.0
1710860181.121446,15749,43.0
1710860183.4684634,15799,44.0
1710860185.9747484,15849,44.0
1710860188.4538996,15899,44.0
1710860190.8473597,15949,44.0
1710860193.2676091,15999,44.0
1710860195.6355503,16049,44.0
1710860203.0454578,16109,44.0
1710860205.1664805,16149,45.0
1710860210.1705215,16249,45.0
1710860215.0930474,16349,45.0
1710860220.256343,16449,45.0
1710860225.3736095,16549,46.0
1710860227.8336987,16599,46.0
1710860230.2735696,16649,46.0
1710860232.9704337,16699,46.0
1710860235.3165202,16749,46.0
1710860237.7760613,16799,46.0
1710860240.3395598,16849,47.0
1710860242.8364992,16899,47.0
1710860245.3512228,16949,47.0
1710860247.8257139,16999,47.0
1710860250.3058486,17049,47.0
1710860252.707386,17099,47.0
1710860255.0579522,17149,47.0
1710860257.55958,17199,48.0
1710860259.9999583,17249,48.0
1710860262.4462667,17299,48.0
1710860267.247219,17399,48.0
1710860272.0615938,17499,48.0
1710860274.6165302,17549,49.0
1710860277.3398983,17599,49.0
1710860279.7518795,17649,49.0
1710860282.1047351,17699,49.0
1710860284.5386076,17749,49.0
1710860287.0100877,17799,49.0
1710860289.4768407,17849,49.0
1710860292.11809,17899,49.0
1710860296.388206,17899,49.0
1710860298.9718468,17949,50.0
1710860303.846842,18049,50.0
1710860306.1342633,18099,50.0
1710860311.134018,18199,50.0
1710860316.0985227,18299,51.0
1710860318.5214813,18349,51.0
1710860321.0534275,18399,51.0
1710860323.5432665,18449,51.0
1710860325.8113577,18499,51.0
1710860330.6672137,18599,51.0
1710860333.1913698,18649,52.0
1710860338.177203,18749,52.0
1710860340.5922785,18799,52.0
1710860343.0353687,18849,52.0
1710860345.3577545,18899,52.0
1710860347.7410185,18949,52.0
1710860352.955484,19049,53.0
1710860355.4478772,19099,53.0
1710860357.9972339,19149,53.0
1710860360.4984236,19199,53.0
1710860367.9574652,19349,54.0
1710860372.8733091,19449,54.0
1710860375.337193,19499,54.0
1710860380.2729104,19599,54.0
1710860382.7346408,19649,54.0
1710860389.1460965,19689,54.0
1710860392.1995687,19749,55.0
1710860394.647986,19799,55.0
1710860399.4379997,19899,55.0
1710860404.3623483,19999,55.0
1710860416.9637372,20249,56.0
1710860419.472254,20299,56.0
1710860426.8447468,20449,57.0
1710860429.282074,20499,57.0
1710860431.7392383,20549,57.0
1710860434.124075,20599,57.0
1710860436.5063279,20649,57.0
1710860438.9727252,20699,57.0
1710860444.0373583,20799,58.0
1710860448.8874342,20899,58.0
1710860453.7354631,20999,58.0
1710860458.9158387,21099,58.0
1710860466.4336128,21249,59.0
1710860468.8499231,21299,59.0
1710860473.7693036,21399,59.0
1710860476.184573,21449,59.0
1710860482.0901833,21479,59.0
1710860483.2141242,21499,60.0
1710860485.5689623,21549,60.0
1710860490.3178258,21649,60.0
1710860492.702676,21699,60.0
1710860495.3793352,21749,60.0
1710860497.8310013,21799,60.0
1710860500.3180513,21849,61.0
1710860502.7425203,21899,61.0
1710860505.241957,21949,61.0
1710860507.6801465,21999,61.0
1710860510.0840638,22049,61.0
1710860514.986091,22149,61.0
1710860517.5559387,22199,62.0
1710860522.3946443,22299,62.0
1710860524.8367622,22349,62.0
1710860527.3581312,22399,62.0
1710860529.8666203,22449,62.0
1710860532.2848291,22499,62.0
1710860534.6201258,22549,62.0
1710860537.1179955,22599,63.0
1710860539.5752332,22649,63.0
1710860542.1115713,22699,63.0
1710860544.5692418,22749,63.0
1710860547.008388,22799,63.0
1710860549.3575952,22849,63.0
1710860552.1372645,22899,63.0
1710860554.6066353,22949,64.0
1710860557.0004106,22999,64.0
1710860559.4752514,23049,64.0
1710860562.044053,23099,64.0
1710860564.4820483,23149,64.0
1710860574.5927637,23269,64.0
1710860576.2686024,23299,65.0
1710860586.0730593,23499,65.0
1710860593.7882283,23649,66.0
1710860596.3103006,23699,66.0
1710860598.7996912,23749,66.0
1710860601.3641138,23799,66.0
1710860603.8761137,23849,66.0
1710860608.7256246,23949,66.0
1710860611.2189186,23999,67.0
1710860613.5992389,24049,67.0
1710860620.9109821,24199,67.0
1710860623.3392074,24249,67.0
1710860628.377328,24349,68.0
1710860638.4637237,24549,68.0
1710860640.9196665,24599,68.0
1710860645.8269753,24699,68.0
1710860648.3664415,24749,69.0
1710860650.7511022,24799,69.0
1710860653.4331598,24849,69.0
1710860655.8062887,24899,69.0
1710860658.1948857,24949,69.0
1710860660.5301833,24999,69.0
1710860667.636682,25059,69.0
1710860669.6221876,25099,70.0
1710860672.3880248,25149,70.0
1710860674.7642522,25199,70.0
1710860677.1663241,25249,70.0
1710860679.5188248,25299,70.0
1710860682.0032976,25349,70.0
1710860689.8045053,25499,71.0
1710860692.2386775,25549,71.0
1710860694.6222234,25599,71.0
1710860709.5707035,25899,72.0
1710860714.5367992,25999,72.0
1710860717.0071056,26049,72.0
1710860719.552666,26099,72.0
1710860722.1220863,26149,73.0
1710860724.533352,26199,73.0
1710860727.0594792,26249,73.0
1710860729.6062832,26299,73.0
1710860732.0009816,26349,73.0
1710860734.460289,26399,73.0
1710860736.850073,26449,73.0
