Wall time,Step,Value
1710859321.162083,49,0.0
1710859323.518068,99,0.0
1710859326.141933,149,0.0
1710859328.6484985,199,0.0
1710859331.0699182,249,0.0
1710859333.5610714,299,0.0
1710859336.3729444,349,0.0
1710859339.0285187,399,1.0
1710859341.5877519,449,1.0
1710859344.0038269,499,1.0
1710859346.4897149,549,1.0
1710859349.0173693,599,1.0
1710859351.4079933,649,1.0
1710859353.9260101,699,1.0
1710859356.481882,749,2.0
1710859358.8902502,799,2.0
1710859361.5019195,849,2.0
1710859363.9436977,899,2.0
1710859366.3891442,949,2.0
1710859369.0222027,999,2.0
1710859371.4765625,1049,2.0
1710859374.0632064,1099,3.0
1710859376.4360147,1149,3.0
1710859378.877302,1199,3.0
1710859381.2701364,1249,3.0
1710859383.6806731,1299,3.0
1710859386.3781438,1349,3.0
1710859388.8960452,1399,3.0
1710859391.6201134,1449,4.0
1710859394.012205,1499,4.0
1710859396.32317,1549,4.0
1710859398.7018273,1599,4.0
1710859401.0340984,1649,4.0
1710859403.4069273,1699,4.0
1710859405.752363,1749,4.0
1710859411.6752152,1789,4.0
1710859412.3753054,1799,5.0
1710859414.7320473,1849,5.0
1710859417.0182755,1899,5.0
1710859419.337568,1949,5.0
1710859421.6677198,1999,5.0
1710859424.2253218,2049,5.0
1710859426.563779,2099,5.0
1710859429.207687,2149,6.0
1710859431.703494,2199,6.0
1710859434.10237,2249,6.0
1710859436.4341211,2299,6.0
1710859438.7106378,2349,6.0
1710859441.0768387,2399,6.0
1710859443.6167586,2449,6.0
1710859445.9940302,2499,6.0
1710859448.4041753,2549,7.0
1710859450.7094908,2599,7.0
1710859453.0758467,2649,7.0
1710859455.544894,2699,7.0
1710859457.8078,2749,7.0
1710859460.2461898,2799,7.0
1710859462.52123,2849,7.0
1710859464.9900944,2899,8.0
1710859467.3475835,2949,8.0
1710859469.6483173,2999,8.0
1710859471.943659,3049,8.0
1710859474.2743375,3099,8.0
1710859476.5887914,3149,8.0
1710859478.9856672,3199,8.0
1710859481.4452522,3249,9.0
1710859483.7658312,3299,9.0
1710859486.1825333,3349,9.0
1710859488.4378378,3399,9.0
1710859491.0916183,3449,9.0
1710859493.3716538,3499,9.0
1710859496.0882616,3549,9.0
1710859501.379365,3579,9.0
1710859502.4080303,3599,10.0
1710859504.697098,3649,10.0
1710859506.922789,3699,10.0
1710859509.2694526,3749,10.0
1710859511.871011,3799,10.0
1710859514.189659,3849,10.0
1710859516.5007813,3899,10.0
1710859518.9641275,3949,11.0
1710859521.6724596,3999,11.0
1710859523.9567158,4049,11.0
1710859526.2372963,4099,11.0
1710859528.4706817,4149,11.0
1710859530.8094425,4199,11.0
1710859533.1571293,4249,11.0
1710859535.4838707,4299,12.0
1710859537.694721,4349,12.0
1710859540.0543864,4399,12.0
1710859542.4712265,4449,12.0
1710859544.7191837,4499,12.0
1710859546.9923697,4549,12.0
1710859549.2253888,4599,12.0
1710859551.4401612,4649,12.0
1710859553.8456867,4699,13.0
1710859555.9744046,4749,13.0
1710859558.1502662,4799,13.0
1710859560.471901,4849,13.0
1710859562.6964405,4899,13.0
1710859564.940537,4949,13.0
1710859567.1838405,4999,13.0
1710859569.527724,5049,14.0
1710859571.7959666,5099,14.0
1710859574.085272,5149,14.0
1710859576.5432792,5199,14.0
1710859578.9243126,5249,14.0
1710859581.3868742,5299,14.0
1710859583.770582,5349,14.0
1710859588.7292545,5369,14.0
1710859590.234774,5399,15.0
1710859592.5219476,5449,15.0
1710859594.8258414,5499,15.0
1710859597.3061843,5549,15.0
1710859599.629363,5599,15.0
1710859601.8634298,5649,15.0
1710859604.0305388,5699,15.0
1710859606.4596,5749,16.0
1710859608.9572306,5799,16.0
1710859611.2280061,5849,16.0
1710859613.5189872,5899,16.0
1710859615.894362,5949,16.0
1710859618.1497216,5999,16.0
1710859620.4270833,6049,16.0
1710859622.841867,6099,17.0
1710859625.3855581,6149,17.0
1710859627.6640966,6199,17.0
1710859629.8853116,6249,17.0
1710859632.1582797,6299,17.0
1710859634.576305,6349,17.0
1710859636.9197347,6399,17.0
