Wall time,Step,Value
1710853630.3386421,199,0.0
1710853633.4308054,299,0.0
1710853634.8385866,349,0.0
1710853637.6266658,449,1.0
1710853640.3464012,549,1.0
1710853641.5811906,599,1.0
1710853643.1571672,649,1.0
1710853644.843591,699,1.0
1710853646.1121788,749,2.0
1710853647.1984553,799,2.0
1710853648.3244855,849,2.0
1710853649.5185356,899,2.0
1710853651.4022834,949,2.0
1710853652.8613641,999,2.0
1710853654.0261137,1049,2.0
1710853656.2897687,1149,3.0
1710853658.4089468,1249,3.0
1710853659.4685173,1299,3.0
1710853666.0852141,1549,4.0
1710853667.1180918,1599,4.0
1710853668.119756,1649,4.0
1710853669.1138995,1699,4.0
1710853670.0636117,1749,4.0
1710853674.352334,1799,5.0
1710853677.3281999,1949,5.0
1710853678.285892,1999,5.0
1710853680.6452136,2099,5.0
1710853682.5646398,2149,6.0
1710853683.5281796,2199,6.0
1710853684.4474652,2249,6.0
1710853686.3734546,2349,6.0
1710853688.2787728,2449,6.0
1710853689.2639184,2499,6.0
1710853692.0560544,2649,7.0
1710853693.0089765,2699,7.0
1710853693.8988166,2749,7.0
1710853694.8696887,2799,7.0
1710853695.9041731,2849,7.0
1710853698.656952,2999,8.0
1710853699.5916018,3049,8.0
1710853701.3994691,3149,8.0
1710853703.2456553,3249,9.0
1710853704.1611686,3299,9.0
1710853705.002256,3349,9.0
1710853705.8798382,3399,9.0
1710853707.2770739,3449,9.0
1710853709.5800922,3549,9.0
1710853712.449142,3579,9.0
1710853712.9311059,3599,10.0
1710853713.7786849,3649,10.0
1710853716.1782186,3749,10.0
1710853717.9778836,3849,10.0
1710853718.80801,3899,10.0
1710853720.603828,3999,11.0
1710853721.4106853,4049,11.0
1710853723.1256125,4149,11.0
1710853724.01575,4199,11.0
1710853724.895444,4249,11.0
1710853725.849894,4299,12.0
1710853726.7183645,4349,12.0
1710853727.5933352,4399,12.0
1710853729.440731,4499,12.0
1710853730.3380184,4549,12.0
1710853731.2654836,4599,12.0
1710853732.2158384,4649,12.0
1710853736.6821957,4899,13.0
1710853739.5026937,5049,14.0
1710853741.5010738,5149,14.0
1710853742.3649852,5199,14.0
1710853743.2324526,5249,14.0
1710853750.6754901,5549,15.0
1710853753.5814874,5699,15.0
1710853755.474114,5799,16.0
1710853756.3396375,5849,16.0
1710853757.3219619,5899,16.0
1710853761.5471182,6099,17.0
1710853762.419092,6149,17.0
1710853763.3715773,6199,17.0
1710853764.295792,6249,17.0
1710853767.2499042,6349,17.0
1710853768.0779757,6399,17.0
1710853771.4087102,6549,18.0
1710853774.0203793,6699,18.0
1710853774.8796709,6749,18.0
1710853776.6322002,6849,19.0
1710853778.3154423,6949,19.0
1710853779.1345937,6999,19.0
1710853779.9837837,7049,19.0
1710853780.8507056,7099,19.0
1710853781.6943831,7149,19.0
1710853783.5323894,7159,19.0
1710853785.166055,7249,20.0
1710853786.0358157,7299,20.0
1710853786.848233,7349,20.0
1710853789.3718743,7499,20.0
1710853790.3779442,7549,21.0
1710853791.2396495,7599,21.0
1710853793.0323396,7699,21.0
1710853793.9029012,7749,21.0
1710853794.7113426,7799,21.0
1710853796.4938352,7899,22.0
1710853797.46729,7949,22.0
1710853799.1094139,8049,22.0
1710853799.9901462,8099,22.0
1710853801.6881554,8199,22.0
1710853802.622659,8249,23.0
1710853803.4843984,8299,23.0
1710853805.2746842,8399,23.0
1710853808.7186644,8599,24.0
1710853809.4978888,8649,24.0
1710853810.964431,8699,24.0
1710853811.8292797,8749,24.0
1710853814.1300862,8849,24.0
1710853815.597635,8899,24.0
1710853818.1787953,8949,24.0
1710853820.0093033,9049,25.0
1710853820.8404593,9099,25.0
1710853821.728319,9149,25.0
1710853822.5811968,9199,25.0
1710853824.4513447,9299,25.0
1710853825.4998477,9349,26.0
1710853832.1583898,9699,27.0
1710853835.4367678,9899,27.0
1710853838.917471,10099,28.0
1710853839.7765183,10149,28.0
1710853840.5982373,10199,28.0
1710853844.0781715,10399,29.0
1710853844.9005814,10449,29.0
1710853845.7073843,10499,29.0
1710853846.5458176,10549,29.0
1710853849.0393982,10699,29.0
1710853851.4067845,10739,29.0
1710853851.6885467,10749,30.0
1710853852.5535977,10799,30.0
1710853853.3893993,10849,30.0
1710853854.2634132,10899,30.0
1710853855.8490043,10999,30.0
1710853856.6981337,11049,30.0
1710853857.6426835,11099,31.0
1710853859.3250875,11199,31.0
1710853860.154215,11249,31.0
1710853861.033149,11299,31.0
1710853861.8688064,11349,31.0
1710853862.684945,11399,31.0
1710853863.5197487,11449,31.0
1710853866.0578806,11599,32.0
1710853866.9361134,11649,32.0
1710853868.59191,11749,32.0
1710853871.872981,11949,33.0
1710853872.6513705,11999,33.0
1710853874.2070205,12099,33.0
1710853874.9888945,12149,33.0
1710853875.957653,12199,34.0
1710853876.8363523,12249,34.0
1710853878.256595,12299,34.0
1710853879.0949395,12349,34.0
1710853881.7045968,12499,34.0
1710853885.3616774,12599,35.0
1710853886.763176,12649,35.0
1710853887.5704496,12699,35.0
1710853889.006709,12749,35.0
1710853890.6361833,12849,35.0
1710853894.0184107,13049,36.0
1710853895.6649878,13149,36.0
1710853897.3096073,13249,37.0
1710853898.1875792,13299,37.0
1710853898.985934,13349,37.0
1710853899.7415702,13399,37.0
1710853900.5175116,13449,37.0
1710853902.1409504,13549,37.0
1710853903.0010493,13599,37.0
1710853904.767091,13699,38.0
1710853906.4081306,13799,38.0
1710853908.046422,13899,38.0
1710853912.3812482,14149,39.0
1710853914.555735,14249,39.0
1710853915.4283059,14299,39.0
1710853918.1138875,14349,40.0
1710853918.9088943,14399,40.0
1710853919.764145,14449,40.0
1710853920.5556617,14499,40.0
1710853921.434954,14549,40.0
1710853922.315068,14599,40.0
1710853923.1746097,14649,40.0
1710853924.1716936,14699,41.0
1710853924.9923358,14749,41.0
1710853925.9133053,14799,41.0
1710853929.236757,14999,41.0
1710853930.2005637,15049,42.0
1710853933.103875,15149,42.0
1710853935.6092744,15299,42.0
1710853939.033693,15499,43.0
1710853939.8830082,15549,43.0
1710853940.6568096,15599,43.0
1710853941.510832,15649,43.0
1710853943.121385,15749,43.0
1710853944.0719676,15799,44.0
1710853944.9253342,15849,44.0
1710853946.3341706,15899,44.0
1710853947.2195408,15949,44.0
1710853948.0577471,15999,44.0
1710853951.5273137,16109,44.0
1710853952.3058636,16149,45.0
1710853954.0488856,16249,45.0
1710853957.3864172,16449,45.0
1710853959.0132859,16549,46.0
1710853960.6922646,16649,46.0
1710853961.4555945,16699,46.0
1710853962.3084273,16749,46.0
1710853963.2003102,16799,46.0
1710853964.1593666,16849,47.0
1710853964.994236,16899,47.0
1710853965.8739471,16949,47.0
1710853966.7345815,16999,47.0
1710853969.2401361,17149,47.0
1710853971.0196033,17249,48.0
1710853971.7997687,17299,48.0
1710853973.5411124,17399,48.0
1710853975.2208557,17499,48.0
1710853976.145692,17549,49.0
1710853977.614752,17599,49.0
1710853978.4706328,17649,49.0
1710853979.2502234,17699,49.0
1710853980.102077,17749,49.0
1710853980.918373,17799,49.0
1710853981.7499907,17849,49.0
1710853984.1921163,17899,49.0
1710853985.1785402,17949,50.0
1710853986.8377993,18049,50.0
1710853987.7102528,18099,50.0
1710853989.3275137,18199,50.0
1710853991.0883005,18299,51.0
1710853991.8434033,18349,51.0
1710853992.6250055,18399,51.0
1710853993.3838944,18449,51.0
1710853994.117332,18499,51.0
1710853995.6822186,18599,51.0
1710853996.567137,18649,52.0
1710853998.3358376,18749,52.0
1710853999.1419725,18799,52.0
1710853999.947542,18849,52.0
1710854000.7221484,18899,52.0
1710854001.504851,18949,52.0
1710854003.82096,19049,53.0
1710854004.6802707,19099,53.0
1710854006.0868254,19149,53.0
1710854006.959076,19199,53.0
1710854011.527326,19449,54.0
1710854012.5257406,19499,54.0
1710854015.1812155,19649,54.0
1710854017.788553,19689,54.0
1710854018.915579,19749,55.0
1710854019.7681048,19799,55.0
1710854021.5399241,19899,55.0
1710854027.6934965,20249,56.0
1710854028.5019748,20299,56.0
1710854031.2588556,20449,57.0
1710854032.063313,20499,57.0
1710854032.9691408,20549,57.0
1710854034.411731,20599,57.0
1710854036.0408952,20699,57.0
1710854037.8465161,20799,58.0
1710854039.6320608,20899,58.0
1710854041.3368857,20999,58.0
1710854042.9457083,21099,58.0
1710854045.6235962,21249,59.0
1710854048.955507,21449,59.0
1710854051.2644644,21479,59.0
1710854051.7536433,21499,60.0
1710854052.5941148,21549,60.0
1710854054.268488,21649,60.0
1710854055.1351733,21699,60.0
1710854057.7295337,21849,61.0
1710854058.5536988,21899,61.0
1710854060.1755056,21999,61.0
1710854062.71552,22149,61.0
1710854066.0035536,22299,62.0
1710854066.873309,22349,62.0
1710854067.7080824,22399,62.0
1710854068.490769,22449,62.0
1710854069.369828,22499,62.0
1710854071.7803037,22599,63.0
1710854072.6423519,22649,63.0
1710854073.4734092,22699,63.0
1710854074.313013,22749,63.0
1710854075.1593583,22799,63.0
1710854076.0013933,22849,63.0
1710854076.8796763,22899,63.0
1710854078.6674418,22999,64.0
1710854080.426082,23099,64.0
1710854081.292317,23149,64.0
1710854085.9372618,23269,64.0
1710854086.6136806,23299,65.0
1710854090.5529823,23499,65.0
1710854093.3385234,23649,66.0
1710854094.1414373,23699,66.0
1710854095.9892673,23799,66.0
1710854096.8757448,23849,66.0
1710854098.3755388,23949,66.0
1710854100.1499033,24049,67.0
1710854102.7412212,24199,67.0
1710854103.4947054,24249,67.0
1710854108.62989,24549,68.0
1710854111.1210983,24699,68.0
1710854112.0321622,24749,69.0
1710854112.8849566,24799,69.0
1710854113.650301,24849,69.0
1710854114.4288886,24899,69.0
1710854115.1868792,24949,69.0
1710854116.0345566,24999,69.0
1710854118.910613,25059,69.0
1710854119.6746209,25099,70.0
1710854120.4863455,25149,70.0
1710854121.3015325,25199,70.0
1710854122.2016022,25249,70.0
1710854123.0425396,25299,70.0
1710854123.8977985,25349,70.0
1710854127.2802417,25549,71.0
1710854128.079463,25599,71.0
1710854134.4944005,25899,72.0
1710854136.119988,25999,72.0
1710854136.9915195,26049,72.0
1710854137.8161547,26099,72.0
1710854138.7174666,26149,73.0
1710854139.5164394,26199,73.0
1710854140.3186803,26249,73.0
1710854141.1520984,26299,73.0
1710854141.9927135,26349,73.0
1710854142.79536,26399,73.0
1710854143.5731533,26449,73.0
1710854144.4586976,26499,74.0
1710854145.3503716,26549,74.0
1710854146.0887523,26599,74.0
