Wall time,Step,Value
1710853647.6224625,199,0.0
1710853651.633921,299,0.0
1710853654.185115,349,0.0
1710853658.2481513,449,1.0
1710853662.6227002,549,1.0
1710853664.5310974,599,1.0
1710853666.4664242,649,1.0
1710853668.8691022,699,1.0
1710853670.9460974,749,2.0
1710853672.9198956,799,2.0
1710853674.8944204,849,2.0
1710853676.844115,899,2.0
1710853678.8719792,949,2.0
1710853681.5244539,999,2.0
1710853683.7270727,1049,2.0
1710853687.712757,1149,3.0
1710853691.579831,1249,3.0
1710853693.4900088,1299,3.0
1710853704.691541,1549,4.0
1710853706.61215,1599,4.0
1710853708.6702688,1649,4.0
1710853710.7604,1699,4.0
1710853712.881869,1749,4.0
1710853719.0089285,1799,5.0
1710853724.725937,1949,5.0
1710853726.6549876,1999,5.0
1710853730.6213822,2099,5.0
1710853732.9356554,2149,6.0
1710853735.219956,2199,6.0
1710853737.466602,2249,6.0
1710853741.9695048,2349,6.0
1710853745.8298454,2449,6.0
1710853747.8221009,2499,6.0
1710853754.158418,2649,7.0
1710853756.1599984,2699,7.0
1710853757.993715,2749,7.0
1710853759.9566157,2799,7.0
1710853761.9427316,2849,7.0
1710853767.774267,2999,8.0
1710853769.6732597,3049,8.0
1710853773.498154,3149,8.0
1710853777.5821142,3249,9.0
1710853779.6215615,3299,9.0
1710853781.646536,3349,9.0
1710853783.6843114,3399,9.0
1710853785.6450872,3449,9.0
1710853789.410767,3549,9.0
1710853794.2489917,3579,9.0
1710853795.2073705,3599,10.0
1710853797.5954173,3649,10.0
1710853801.883059,3749,10.0
1710853805.8799524,3849,10.0
1710853807.7784705,3899,10.0
1710853811.6977208,3999,11.0
1710853813.6446676,4049,11.0
1710853818.0676527,4149,11.0
1710853819.9369316,4199,11.0
1710853821.7923405,4249,11.0
1710853823.782024,4299,12.0
1710853825.7034585,4349,12.0
1710853827.5608335,4399,12.0
1710853831.3946857,4499,12.0
1710853833.3211067,4549,12.0
1710853835.2461019,4599,12.0
1710853837.5093372,4649,12.0
1710853847.1593752,4899,13.0
1710853852.8068697,5049,14.0
1710853856.514468,5149,14.0
1710853858.39174,5199,14.0
1710853860.2108455,5249,14.0
1710853875.2070208,5549,15.0
1710853880.829465,5699,15.0
1710853884.8502004,5799,16.0
1710853886.7122734,5849,16.0
1710853888.7591188,5899,16.0
1710853896.6386104,6099,17.0
1710853898.5367963,6149,17.0
1710853900.5623236,6199,17.0
1710853902.5127418,6249,17.0
1710853906.3284214,6349,17.0
1710853908.1578567,6399,17.0
1710853914.9948041,6549,18.0
1710853920.596892,6699,18.0
1710853922.4900289,6749,18.0
1710853926.349926,6849,19.0
1710853930.1358023,6949,19.0
1710853932.315236,6999,19.0
1710853934.2605147,7049,19.0
1710853936.192375,7099,19.0
1710853938.1474884,7149,19.0
1710853942.0016198,7159,19.0
1710853945.5647957,7249,20.0
1710853947.4139595,7299,20.0
1710853949.2682786,7349,20.0
1710853955.8338208,7499,20.0
1710853957.7633038,7549,21.0
1710853959.5736983,7599,21.0
1710853963.3617828,7699,21.0
1710853965.3671503,7749,21.0
1710853967.3859966,7799,21.0
1710853971.3246434,7899,22.0
1710853973.6547577,7949,22.0
1710853977.4726956,8049,22.0
1710853979.3708827,8099,22.0
1710853983.1293812,8199,22.0
1710853985.0476453,8249,23.0
1710853987.0126336,8299,23.0
1710853990.7688181,8399,23.0
1710853998.2694604,8599,24.0
1710854000.2017078,8649,24.0
1710854002.0228922,8699,24.0
1710854003.9003735,8749,24.0
1710854007.6821148,8849,24.0
1710854009.5843456,8899,24.0
1710854015.1535578,8949,24.0
1710854019.0990105,9049,25.0
1710854021.1904137,9099,25.0
1710854023.1205263,9149,25.0
1710854024.967176,9199,25.0
1710854028.6302152,9299,25.0
1710854030.6804001,9349,26.0
1710854044.5032487,9699,27.0
1710854052.4560258,9899,27.0
1710854060.4995441,10099,28.0
1710854062.3990448,10149,28.0
1710854064.2947345,10199,28.0
1710854072.1375725,10399,29.0
1710854074.0858,10449,29.0
1710854075.9233663,10499,29.0
1710854078.4680855,10549,29.0
1710854084.2436943,10699,29.0
1710854089.2438655,10739,29.0
1710854089.7645788,10749,30.0
1710854091.644589,10799,30.0
1710854093.5805507,10849,30.0
1710854095.5682745,10899,30.0
1710854099.4278848,10999,30.0
1710854101.4005692,11049,30.0
1710854103.5420039,11099,31.0
1710854107.5422246,11199,31.0
1710854109.4181406,11249,31.0
1710854111.3222132,11299,31.0
1710854113.2242177,11349,31.0
1710854115.1908407,11399,31.0
1710854117.039587,11449,31.0
1710854122.8434634,11599,32.0
1710854124.8101177,11649,32.0
1710854128.5852544,11749,32.0
1710854136.0986528,11949,33.0
1710854138.022489,11999,33.0
1710854141.7320569,12099,33.0
1710854143.5892982,12149,33.0
1710854145.7117498,12199,34.0
1710854147.568481,12249,34.0
1710854149.4890034,12299,34.0
1710854151.4033282,12349,34.0
1710854157.1672037,12499,34.0
1710854164.9028645,12599,35.0
1710854166.8817167,12649,35.0
1710854168.84989,12699,35.0
1710854170.7787113,12749,35.0
1710854175.010856,12849,35.0
1710854182.596398,13049,36.0
1710854186.3251767,13149,36.0
1710854190.4165745,13249,37.0
1710854192.326811,13299,37.0
1710854194.3956666,13349,37.0
1710854196.330896,13399,37.0
1710854198.178737,13449,37.0
1710854202.0783687,13549,37.0
1710854204.067589,13599,37.0
1710854207.860508,13699,38.0
1710854212.0251937,13799,38.0
1710854215.8628368,13899,38.0
1710854225.2362986,14149,39.0
1710854229.337585,14249,39.0
1710854231.39028,14299,39.0
1710854237.016925,14349,40.0
1710854238.8946793,14399,40.0
1710854240.7984283,14449,40.0
1710854242.704488,14499,40.0
1710854244.6788716,14549,40.0
1710854246.6341965,14599,40.0
1710854248.5405092,14649,40.0
1710854250.4899578,14699,41.0
1710854252.3594346,14749,41.0
1710854254.25666,14799,41.0
1710854261.9310908,14999,41.0
1710854263.8776631,15049,42.0
1710854267.6430013,15149,42.0
1710854274.2428544,15299,42.0
1710854282.1394713,15499,43.0
1710854283.9946632,15549,43.0
1710854285.8991911,15599,43.0
1710854288.2247202,15649,43.0
1710854291.8978322,15749,43.0
1710854293.8601573,15799,44.0
1710854295.7308078,15849,44.0
1710854297.5657685,15899,44.0
1710854299.3961418,15949,44.0
1710854301.233359,15999,44.0
1710854308.9766922,16109,44.0
1710854310.6460884,16149,45.0
1710854314.52365,16249,45.0
1710854322.163472,16449,45.0
1710854325.995514,16549,46.0
1710854329.8256478,16649,46.0
1710854331.7057326,16699,46.0
1710854333.603427,16749,46.0
1710854335.5345109,16799,46.0
1710854337.4822392,16849,47.0
1710854339.479779,16899,47.0
1710854341.336578,16949,47.0
1710854343.1948752,16999,47.0
1710854348.9010456,17149,47.0
1710854352.8955553,17249,48.0
1710854355.5322895,17299,48.0
1710854359.7197363,17399,48.0
1710854363.4403298,17499,48.0
1710854365.4470565,17549,49.0
1710854367.269109,17599,49.0
1710854369.228206,17649,49.0
1710854371.089906,17699,49.0
1710854373.0539072,17749,49.0
1710854375.8258758,17799,49.0
1710854377.7708652,17849,49.0
1710854383.3470278,17899,49.0
1710854385.3803296,17949,50.0
1710854389.0466242,18049,50.0
1710854390.9305305,18099,50.0
1710854394.6293516,18199,50.0
1710854398.5521352,18299,51.0
1710854400.6229408,18349,51.0
1710854402.5721958,18399,51.0
1710854404.887286,18449,51.0
1710854406.7359934,18499,51.0
1710854410.5747774,18599,51.0
1710854412.499874,18649,52.0
1710854416.3749032,18749,52.0
1710854418.2045124,18799,52.0
1710854420.0931723,18849,52.0
1710854422.1001909,18899,52.0
1710854424.1058593,18949,52.0
1710854428.1272728,19049,53.0
1710854430.0405328,19099,53.0
1710854431.9475226,19149,53.0
1710854433.776896,19199,53.0
1710854443.2488868,19449,54.0
1710854445.2507527,19499,54.0
1710854450.9522734,19649,54.0
1710854456.0247617,19689,54.0
1710854458.4273756,19749,55.0
1710854460.375305,19799,55.0
1710854464.2434883,19899,55.0
1710854477.9852896,20249,56.0
1710854479.9180799,20299,56.0
1710854485.6323962,20449,57.0
1710854488.1667044,20499,57.0
1710854490.0469224,20549,57.0
1710854492.232955,20599,57.0
1710854496.0628104,20699,57.0
1710854499.8628235,20799,58.0
1710854504.1644864,20899,58.0
1710854508.018993,20999,58.0
1710854511.8106983,21099,58.0
1710854517.482308,21249,59.0
1710854525.0458534,21449,59.0
1710854530.2936358,21479,59.0
1710854531.133649,21499,60.0
1710854533.0200086,21549,60.0
1710854536.826526,21649,60.0
1710854538.8908296,21699,60.0
1710854544.6473937,21849,61.0
1710854546.624783,21899,61.0
1710854550.3515587,21999,61.0
1710854556.4239645,22149,61.0
1710854562.2599444,22299,62.0
1710854564.1429048,22349,62.0
1710854566.1073205,22399,62.0
1710854568.0036542,22449,62.0
1710854569.876349,22499,62.0
1710854573.6466558,22599,63.0
1710854575.6256979,22649,63.0
1710854577.6009429,22699,63.0
1710854579.5865633,22749,63.0
1710854581.4173083,22799,63.0
1710854583.3604388,22849,63.0
1710854585.2804954,22899,63.0
1710854589.0762856,22999,64.0
1710854592.879464,23099,64.0
1710854594.7880669,23149,64.0
1710854602.8204858,23269,64.0
1710854604.1025805,23299,65.0
1710854611.626563,23499,65.0
1710854617.5208473,23649,66.0
1710854619.4308667,23699,66.0
1710854623.236578,23799,66.0
1710854625.1808074,23849,66.0
1710854628.9680417,23949,66.0
1710854633.2652373,24049,67.0
1710854638.8629534,24199,67.0
1710854640.7372944,24249,67.0
1710854652.9032774,24549,68.0
1710854659.0167785,24699,68.0
1710854661.0890033,24749,69.0
1710854663.0154614,24799,69.0
1710854664.910944,24849,69.0
1710854666.8404124,24899,69.0
1710854668.754922,24949,69.0
1710854670.6218073,24999,69.0
1710854676.3734,25059,69.0
1710854677.962331,25099,70.0
1710854679.8144271,25149,70.0
1710854681.7387664,25199,70.0
1710854683.6481066,25249,70.0
1710854685.5241456,25299,70.0
1710854687.3579862,25349,70.0
1710854694.8859212,25549,71.0
1710854696.7715178,25599,71.0
1710854708.5038311,25899,72.0
1710854712.1211855,25999,72.0
1710854713.950081,26049,72.0
1710854715.8287168,26099,72.0
1710854717.7389438,26149,73.0
1710854719.641907,26199,73.0
1710854721.5469606,26249,73.0
1710854723.4447541,26299,73.0
1710854725.2836063,26349,73.0
1710854727.1119466,26399,73.0
1710854728.9753845,26449,73.0
1710854730.9123461,26499,74.0
1710854732.9080832,26549,74.0
1710854734.7863643,26599,74.0
1710854736.6511738,26649,74.0
1710854738.437479,26699,74.0
1710854740.4392092,26749,74.0
1710854742.312158,26799,74.0
1710854747.7215567,26849,74.0
1710854750.1342413,26899,75.0
1710854751.956453,26949,75.0
1710854755.6063616,27049,75.0
1710854759.319024,27149,75.0
1710854763.2533543,27249,76.0
1710854765.0496893,27299,76.0
1710854770.5837994,27449,76.0
1710854772.41971,27499,76.0
1710854774.2650535,27549,76.0
1710854778.1507564,27649,77.0
1710854780.0438764,27699,77.0
1710854781.935789,27749,77.0
1710854785.7115645,27849,77.0
1710854789.462661,27949,78.0
1710854791.6504347,27999,78.0
1710854795.7069898,28099,78.0
1710854797.5862408,28149,78.0
1710854799.4856493,28199,78.0
1710854801.3633978,28249,78.0
1710854803.3789732,28299,79.0
1710854805.3459277,28349,79.0
1710854807.1880765,28399,79.0
1710854809.0293205,28449,79.0
1710854810.886811,28499,79.0
1710854814.6998088,28599,79.0
1710854819.799184,28639,79.0
1710854820.3327878,28649,80.0
1710854826.036521,28799,80.0
1710854827.964949,28849,80.0
1710854829.8344855,28899,80.0
1710854833.6015608,28999,81.0
1710854835.4472518,29049,81.0
1710854837.3326216,29099,81.0
1710854839.199602,29149,81.0
