Wall time,Step,Value
1710853649.4511178,299,0.0
1710853651.6136246,349,0.0
1710853659.8635638,549,1.0
1710853661.9065988,599,1.0
1710853668.1859622,749,2.0
1710853670.1234567,799,2.0
1710853675.8683033,949,2.0
1710853678.3375485,999,2.0
1710853680.207091,1049,2.0
1710853687.9615965,1249,3.0
1710853713.8222146,1799,5.0
1710853721.335794,1999,5.0
1710853725.0755544,2099,5.0
1710853729.2778294,2199,6.0
1710853731.7665944,2249,6.0
1710853735.4921315,2349,6.0
1710853739.605074,2449,6.0
1710853747.1630187,2649,7.0
1710853749.0567324,2699,7.0
1710853750.9122672,2749,7.0
1710853752.7376688,2799,7.0
1710853754.672475,2849,7.0
1710853765.9348083,3149,8.0
1710853769.7549703,3249,9.0
1710853771.5154128,3299,9.0
1710853773.3109267,3349,9.0
1710853775.2535286,3399,9.0
1710853780.7974515,3549,9.0
1710853785.2993855,3579,9.0
1710853786.4569948,3599,10.0
1710853788.2849166,3649,10.0
1710853798.6604037,3899,10.0
1710853808.7030928,4149,11.0
1710853814.3523622,4299,12.0
1710853816.5416949,4349,12.0
1710853827.7834182,4649,12.0
1710853842.8752072,5049,14.0
1710853848.4322522,5199,14.0
1710853850.2490637,5249,14.0
1710853865.010961,5549,15.0
1710853870.5435653,5699,15.0
1710853874.346274,5799,16.0
1710853887.7353468,6149,17.0
1710853889.5254078,6199,17.0
1710853895.0304704,6349,17.0
1710853896.898339,6399,17.0
1710853910.2409778,6749,18.0
1710853913.9438174,6849,19.0
1710853918.3216379,6949,19.0
1710853920.1015913,6999,19.0
1710853921.9349225,7049,19.0
1710853936.487766,7349,20.0
1710853945.8863354,7599,21.0
1710853949.5815442,7699,21.0
1710853951.3491452,7749,21.0
1710853953.1858897,7799,21.0
1710853958.8483994,7949,22.0
1710853964.3702576,8099,22.0
1710853967.9229512,8199,22.0
1710853969.8657632,8249,23.0
1710853975.3953068,8399,23.0
1710853986.6153505,8699,24.0
1710853988.4678817,8749,24.0
1710853992.1813507,8849,24.0
1710853998.9159107,8949,24.0
1710854002.6883183,9049,25.0
1710854004.4961472,9099,25.0
1710854008.1798103,9199,25.0
1710854012.1164474,9299,25.0
1710854014.0424905,9349,26.0
1710854027.2862325,9699,27.0
1710854042.311512,10099,28.0
1710854044.1416874,10149,28.0
1710854046.008669,10199,28.0
1710854054.0225089,10399,29.0
1710854074.1764772,10849,30.0
1710854075.9933028,10899,30.0
1710854079.5931947,10999,30.0
1710854083.3311164,11099,31.0
1710854087.2322307,11199,31.0
1710854093.2036204,11349,31.0
1710854095.0823874,11399,31.0
1710854096.8714652,11449,31.0
1710854102.453652,11599,32.0
1710854121.0124958,12099,33.0
1710854124.9028976,12199,34.0
1710854135.8403265,12499,34.0
1710854143.0676966,12599,35.0
1710854144.9198909,12649,35.0
1710854146.8001645,12699,35.0
1710854148.6460006,12749,35.0
1710854152.336047,12849,35.0
1710854160.7120035,13049,36.0
1710854164.4492242,13149,36.0
1710854168.1418636,13249,37.0
1710854171.8482673,13349,37.0
1710854181.0535557,13599,37.0
1710854192.5160043,13899,38.0
1710854205.4601266,14249,39.0
1710854207.2961888,14299,39.0
1710854218.0099204,14499,40.0
1710854219.8648765,14549,40.0
1710854225.5043726,14699,41.0
1710854227.3019218,14749,41.0
1710854229.1176927,14799,41.0
1710854236.2779264,14999,41.0
1710854238.3066487,15049,42.0
1710854241.8883064,15149,42.0
1710854247.3129191,15299,42.0
1710854254.8271432,15499,43.0
1710854256.6434875,15549,43.0
1710854258.3994005,15599,43.0
1710854260.1497018,15649,43.0
1710854263.7350588,15749,43.0
1710854269.4593556,15899,44.0
1710854271.2351646,15949,44.0
1710854273.03942,15999,44.0
1710854280.3447647,16109,44.0
1710854285.6824498,16249,45.0
1710854296.9399207,16549,46.0
1710854300.507949,16649,46.0
1710854305.8106306,16799,46.0
1710854307.6165538,16849,47.0
1710854311.3142002,16949,47.0
1710854313.075224,16999,47.0
1710854322.2538588,17249,48.0
1710854324.0717223,17299,48.0
1710854331.5204413,17499,48.0
1710854335.2899833,17599,49.0
1710854341.089094,17749,49.0
1710854350.4793,17899,49.0
1710854358.2181282,18099,50.0
1710854361.796386,18199,50.0
1710854369.2220783,18399,51.0
1710854371.0419717,18449,51.0
1710854372.9734855,18499,51.0
1710854376.6751075,18599,51.0
1710854385.7890718,18849,52.0
1710854387.6932096,18899,52.0
1710854395.571446,19099,53.0
1710854397.3546598,19149,53.0
1710854399.242781,19199,53.0
1710854420.414948,19689,54.0
1710854428.2178767,19899,55.0
1710854441.189837,20249,56.0
1710854443.0057614,20299,56.0
1710854452.158383,20549,57.0
1710854454.0189292,20599,57.0
1710854457.7602475,20699,57.0
1710854461.5218635,20799,58.0
1710854468.85074,20999,58.0
1710854485.5763774,21449,59.0
1710854490.878073,21499,60.0
1710854492.643493,21549,60.0
1710854498.292112,21699,60.0
1710854509.3729057,21999,61.0
1710854523.9048235,22399,62.0
1710854526.1513906,22449,62.0
1710854528.3752759,22499,62.0
1710854532.0673459,22599,63.0
1710854534.0364366,22649,63.0
1710854539.4619548,22799,63.0
1710854541.239276,22849,63.0
1710854550.2981398,23099,64.0
1710854552.2014096,23149,64.0
1710854574.3977826,23649,66.0
1710854579.8323894,23799,66.0
1710854581.6828673,23849,66.0
1710854585.2236838,23949,66.0
1710854588.9237716,24049,67.0
1710854594.5266166,24199,67.0
1710854615.372862,24749,69.0
1710854622.4776485,24949,69.0
1710854624.3411574,24999,69.0
1710854630.3933356,25059,69.0
1710854635.688404,25199,70.0
1710854639.2625508,25299,70.0
1710854648.5781825,25549,71.0
1710854650.3970516,25599,71.0
1710854661.995473,25899,72.0
1710854665.6242127,25999,72.0
1710854667.4342976,26049,72.0
1710854669.2295473,26099,72.0
1710854671.110168,26149,73.0
1710854673.0293674,26199,73.0
1710854674.809795,26249,73.0
1710854678.5779066,26349,73.0
1710854682.1819346,26449,73.0
1710854691.3442616,26699,74.0
1710854693.1500378,26749,74.0
1710854694.9456606,26799,74.0
1710854700.151057,26849,74.0
1710854707.9776733,27049,75.0
1710854711.534302,27149,75.0
1710854715.2775798,27249,76.0
1710854722.7954311,27449,76.0
1710854724.7239952,27499,76.0
1710854726.63787,27549,76.0
1710854734.0131044,27749,77.0
1710854741.6012383,27949,78.0
1710854743.432603,27999,78.0
1710854749.243167,28149,78.0
1710854753.0124984,28249,78.0
1710854754.8939795,28299,79.0
1710854756.748401,28349,79.0
1710854758.5550888,28399,79.0
1710854760.4257889,28449,79.0
1710854762.2470536,28499,79.0
1710854765.850733,28599,79.0
1710854770.6842687,28639,79.0
1710854778.44331,28849,80.0
1710854780.3036108,28899,80.0
1710854785.8973153,29049,81.0
1710854787.692237,29099,81.0
1710854793.1693583,29249,81.0
1710854796.9269283,29349,81.0
1710854804.7215724,29549,82.0
1710854808.7323327,29649,82.0
1710854812.582546,29749,83.0
1710854816.1992164,29849,83.0
1710854821.6623056,29999,83.0
1710854829.646677,30199,84.0
1710854831.7016013,30249,84.0
1710854835.3420963,30349,84.0
1710854842.4170713,30449,85.0
1710854850.033554,30649,85.0
1710854859.42833,30899,86.0
1710854872.738819,31249,87.0
1710854874.6771514,31299,87.0
1710854878.5435855,31399,87.0
1710854880.5142553,31449,87.0
1710854882.2711172,31499,87.0
1710854884.1990278,31549,88.0
1710854887.8554204,31649,88.0
1710854893.6060596,31799,88.0
1710854900.889174,31999,89.0
1710854902.8464565,32049,89.0
1710854912.6431904,32219,89.0
1710854917.6830602,32349,90.0
1710854925.0475793,32549,90.0
1710854930.5535548,32699,91.0
1710854932.7706232,32749,91.0
1710854934.6796775,32799,91.0
1710854936.509929,32849,91.0
1710854938.301586,32899,91.0
1710854942.0511503,32999,92.0
1710854944.052627,33049,92.0
1710854945.8968308,33099,92.0
1710854949.9322999,33199,92.0
1710854951.7357297,33249,92.0
1710854953.7787356,33299,93.0
1710854955.6407871,33349,93.0
1710854959.3909914,33449,93.0
1710854963.0313442,33549,93.0
1710854964.8061435,33599,93.0
1710854977.6654615,33949,94.0
1710854984.989504,34049,95.0
1710854986.9451694,34099,95.0
